tutan_fon,tutulan_fon,tutar_tl,tutan_fon_rapor_net_varlik_tl,oran,kap_rapor_donemi,kap_yayin_tarihi,kap_bildirim_no
TLY,HMV,12530204932.25,247632508542.43,0.0506,35. Hafta,09.09.2026,1661170
DFI,ABG,10182025523.12,31981435370.21,0.318373,36. Hafta,16.09.2026,1664251
DOH,T3B,2019265668.9,22411383672.57,0.0901,35. Hafta,09.09.2026,1661174
DFI,PSE,504123365.74,31981435370.21,0.015763,36. Hafta,16.09.2026,1664251
DOH,TLY,192737899.58,22411383672.57,0.0086,35. Hafta,09.09.2026,1661174
KHA,AC4,162618551.54,8171786509.41,0.0199,8. Ay,03.09.2026,1658599
DFI,BAC,121209640.05,31981435370.21,0.00379,36. Hafta,16.09.2026,1664251
SNY,PSE,67990564.84,383696097.82,0.177199,36. Hafta,16.09.2026,1664215
DFI,GCD,30382363.6,31981435370.21,0.00095,36. Hafta,16.09.2026,1664251
TLY,T3B,24763250.85,247632508542.43,0.0001,35. Hafta,09.09.2026,1661170
HIM,KSA,24431263.17,284084455.46,0.086,36. Hafta,16.09.2026,1664219
FNT,KSA,18003037.18,414816524.94,0.0434,36. Hafta,16.09.2026,1664240
HDA,KSA,9027359.61,92588303.65,0.0975,36. Hafta,16.09.2026,1664242
DFI,LAI,8539043.24,31981435370.21,0.000267,36. Hafta,16.09.2026,1664251
DUH,KSA,3909693.83,144269145.15,0.0271,36. Hafta,16.09.2026,1664239
HIM,HKJ,3693097.92,284084455.46,0.013,36. Hafta,16.09.2026,1664219
HKM,HPZ,1063960.24,44517164.68,0.0239,36. Hafta,16.09.2026,1664221
BTJ,PSE,958877.6,12532545.61,0.076511,36. Hafta,16.09.2026,1664250
BSH,PSE,566886.49,7628157.1,0.074315,36. Hafta,16.09.2026,1664238
DFI,BTJ,287832.92,31981435370.21,9e-06,36. Hafta,16.09.2026,1664251
HKM,HKJ,129099.78,44517164.68,0.0029,36. Hafta,16.09.2026,1664221
HDK,HKJ,5973.82,11947632.48,0.0005,36. Hafta,16.09.2026,1664243
AP5,PSE,2689.81,881038.37,0.003053,36. Hafta,16.09.2026,1664237
DFI,KHD,0.0,31981435370.21,0.0,36. Hafta,16.09.2026,1664251
