varlik,brut_pozitif_tl,negatif_tl,net_tl,net_pay_yuzde
Hisse Senedi,608464076584.52,0.0,608464076584.52,61.79
Ters-Repo,172726065245.81,0.0,172726065245.81,17.54
Borsa İstanbul Para Piyasası,67289880902.6,-11692583319.24,55597297583.36,5.65
Yatırım Fonları Katılma Payları,55393693490.14,0.0,55393693490.14,5.62
Devlet Tahvili,23424061908.98,0.0,23424061908.98,2.38
Özel Sektör Kira Sertifikaları,23195366311.38,0.0,23195366311.38,2.36
Finansman Bonosu,21320326664.13,0.0,21320326664.13,2.16
Mevduat (TL),18373325738.56,0.0,18373325738.56,1.87
Katılma Hesabı (TL),13470113258.35,0.0,13470113258.35,1.37
Vadeli İşlemler Nakit Teminatları,6231232353.3,0.0,6231232353.3,0.63
Varlığa Dayalı Menkul Kıymetler,6165215104.31,0.0,6165215104.31,0.63
BİST Taahhütlü İşlem Pazarı Satım,3507378986.36,0.0,3507378986.36,0.36
Özel Sektör Tahvili,2214972694.27,0.0,2214972694.27,0.22
Kamu Kira Sertifikaları (TL),1030102177.06,0.0,1030102177.06,0.1
Girişim Sermayesi Yatırım Fonu Katılma Payları,523602571.23,0.0,523602571.23,0.05
Borsa Yatırım Fonları Katılma Payları,430828788.74,0.0,430828788.74,0.04
Takasbank Para Piyasası,1007544022.01,-580827949.31,426716072.7,0.04
Diğer,264276233.58,0.0,264276233.58,0.03
Hazine Bonosu,13269566.28,0.0,13269566.28,0.0
Repo,0.0,-27988966696.14,-27988966696.14,-2.84
