fon_kodu,fon_unvani,sirket_grubu,semsiye_fon_turu,portfoy_buyuklugu_tl,kaldirac_var,Hisse Senedi (%),Devlet Tahvili (%),Hazine Bonosu (%),Finansman Bonosu (%),Özel Sektör Tahvili (%),Varlığa Dayalı Menkul Kıymetler (%),Kamu Kira Sertifikaları (TL) (%),Özel Sektör Kira Sertifikaları (%),Ters-Repo (%),Repo (%),BİST Taahhütlü İşlem Pazarı Satım (%),Takasbank Para Piyasası (%),Borsa İstanbul Para Piyasası (%),Mevduat (TL) (%),Katılma Hesabı (TL) (%),Borsa Yatırım Fonları Katılma Payları (%),Yatırım Fonları Katılma Payları (%),Vadeli İşlemler Nakit Teminatları (%),Diğer (%),Girişim Sermayesi Yatırım Fonu Katılma Payları (%),Hisse Senedi (TL),Devlet Tahvili (TL),Hazine Bonosu (TL),Finansman Bonosu (TL),Özel Sektör Tahvili (TL),Varlığa Dayalı Menkul Kıymetler (TL),Kamu Kira Sertifikaları (TL) (TL),Özel Sektör Kira Sertifikaları (TL),Ters-Repo (TL),Repo (TL),BİST Taahhütlü İşlem Pazarı Satım (TL),Takasbank Para Piyasası (TL),Borsa İstanbul Para Piyasası (TL),Mevduat (TL) (TL),Katılma Hesabı (TL) (TL),Borsa Yatırım Fonları Katılma Payları (TL),Yatırım Fonları Katılma Payları (TL),Vadeli İşlemler Nakit Teminatları (TL),Diğer (TL),Girişim Sermayesi Yatırım Fonu Katılma Payları (TL)
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,Bulls,Para Piyasası Şemsiye Fonu,1428227280.37,,,12.22,,12.74,,,,1.32,53.89,,,,19.83,,,,,,,,,174529373.66,,181956155.52,,,,18852600.1,769671681.39,,,,283217469.7,,,,,,,
BBN,BULLS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,1329643719.87,evet,109.22,,,,,,,,,,,,-9.22,,,,,,,,1452236870.84,,,,,,,,,,,,-122593150.97,,,,,,,
BBO,BULLS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,74374.01,,53.32,,,,,,,,,,,,,,,,46.68,,,,39656.22,,,,,,,,,,,,,,,,34717.79,,,
BDO,BULLS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,1473121695.08,,99.96,,,,,,,,,,,,,,,,0.04,,,,1472532446.4,,,,,,,,,,,,,,,,589248.68,,,
BI5,BULLS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,2458690.79,,95.71,,,,,,,,,,,,,,,,,4.29,,,2353212.96,,,,,,,,,,,,,,,,,105477.83,,
BIK,BULLS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,2390697739.52,,100.0,,,,,,,,,,,,,,,,,,,,2390697739.52,,,,,,,,,,,,,,,,,,,
BLA,BULLS PORTFÖY ALGORİTMİK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,3581016118.74,evet,100.09,,,,,,,,,,,,-0.09,,,,,,,,3584239033.25,,,,,,,,,,,,-3222914.51,,,,,,,
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,152540456.61,,90.96,,,,,,,,,,,,,,,,,9.04,,,138750799.33,,,,,,,,,,,,,,,,,13789657.28,,
BOH,BULLS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,179828928.1,,86.76,,,,,,,,,,,,,,,,,13.24,,,156019578.02,,,,,,,,,,,,,,,,,23809350.08,,
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,54065160.12,,75.25,,,,,,,,,,,,13.78,,,,,10.97,,,40684032.99,,,,,,,,,,,,7450179.06,,,,,5930948.07,,
BP5,BULLS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,42416207.92,,83.23,,,,,,,,,,,,,,,,16.32,0.45,,,35303009.85,,,,,,,,,,,,,,,,6922325.13,190872.94,,
BSN,BULLS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,561180466.03,evet,100.29,,,,,,,,,,,,-0.29,,,,,,,,562807889.38,,,,,,,,,,,,-1627423.35,,,,,,,
BUC,BULLS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,1450420.51,,74.17,,,,,,,,,,,,,,,,,25.83,,,1075776.89,,,,,,,,,,,,,,,,,374643.62,,
IHY,BULLS PORTFÖY GMS HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,172773265.05,,87.48,,,,,,,,,,,,,,,,0.08,12.44,,,151142052.27,,,,,,,,,,,,,,,,138218.61,21492994.17,,
YLZ,BULLS PORTFÖY YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Bulls,Serbest Şemsiye Fonu,3325241.6,,93.77,,,,,,,,,,,,,,,,5.41,0.82,,,3118079.05,,,,,,,,,,,,,,,,179895.57,27266.98,,
TLY,TERA PORTFÖY BİRİNCİ SERBEST FON,Tera,Serbest Şemsiye Fonu,243624480154.28,evet,87.43,,,4.49,,,,3.41,2.67,-7.61,,,,0.53,,,8.9,0.18,,,213000882998.89,,,10938739158.93,,,,8307594773.26,6504773620.12,-18539822939.74,,,,1291209744.82,,,21682578733.73,438524064.28,,
