sira,portfoy_sirketi,sirket,fon_unvani,fon_kodu,semsiye_fon_turu,fon_tipi,portfoy_buyuklugu_tl,yatirimci_sayisi,fiyat,tedavuldeki_pay
1,A1 CAPİTAL,A1 Capital,A1 CAPİTAL PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BHN,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,474095099.92,41,1.421212,333585058
2,A1 CAPİTAL,A1 Capital,A1 CAPİTAL PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BYZ,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,172077522.01,40,2.094882,82141874
3,A1 CAPİTAL,A1 Capital,A1 CAPİTAL PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),CBD,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,586027587.88,17,0.051361,11409975961
4,A1 CAPİTAL,A1 Capital,A1 CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),CAH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,14411214.29,184,1.196702,12042445
5,A1 CAPİTAL,A1 Capital,A1 CAPİTAL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),CHY,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,142970532.01,41,0.148515,962664615
6,A1 CAPİTAL,A1 Capital,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),AJ1,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,10267005.32,83,1.357884,7561033
7,A1 CAPİTAL,A1 Capital,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) FONU,PAB,Para Piyasası Şemsiye Fonu,Para Piyasası Fonu (PPF),211205201.61,729,1.450875,145570943
8,A1 CAPİTAL,A1 Capital,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) SERBEST FON,P1A,Serbest Şemsiye Fonu,Para Piyasası / Kısa Vadeli Serbest,716886233.27,360,1.576107,454846048
9,A1 CAPİTAL,A1 Capital,A1 CAPİTAL PORTFÖY SANAYİ SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),SEH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,104951051.69,45,1.501413,69901499
10,ATLAS,Atlas,ATLAS PORTFÖY ALGO TOROS HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),LGO,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,93873107.3,11,6.232307,15062336
11,ATLAS,Atlas,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BSH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,7217043.62,127,0.979611,7367255
12,ATLAS,Atlas,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),AP5,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,841947.08,17,0.806803,1043560
13,ATLAS,Atlas,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BAC,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1000259640.07,12,1.170315,854692790
14,ATLAS,Atlas,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),AP4,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,235555616.35,11,0.945178,249218342
15,ATLAS,Atlas,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,ABG,Serbest Şemsiye Fonu,Diğer Serbest Fon,17659972052.28,181,135.122433,130696078
16,ATLAS,Atlas,ATLAS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),LAI,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,173179364.65,12,1.156448,149751064
17,ATLAS,Atlas,ATLAS PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),KHD,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,737874351.34,12,1.414434,521674512
18,ATLAS,Atlas,ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BTJ,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,12563921.0,54,1.401715,8963249
19,ATLAS,Atlas,ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),KLH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,96737211.04,1893,2.452931,39437399
20,ATLAS,Atlas,ATLAS PORTFÖY PARA PİYASASI (TL) FONU,PPT,Para Piyasası Şemsiye Fonu,Para Piyasası Fonu (PPF),2166623302.22,3983,3.378255,641343988
21,ATLAS,Atlas,ATLAS PORTFÖY PARA PİYASASI SERBEST FON,PSE,Serbest Şemsiye Fonu,Para Piyasası / Kısa Vadeli Serbest,22835199008.35,5636,1.936053,11794717821
22,ATLAS,Atlas,ATLAS PORTFÖY SANAYİ SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),SNY,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,365479640.14,413,1.238828,295020554
23,ATLAS,Atlas,ATLAS PORTFÖY SERBEST FON,DFI,Serbest Şemsiye Fonu,Diğer Serbest Fon,31299597782.95,47521,6.548005,4780020388
24,ATLAS,Atlas,ATLAS PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),GCD,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,833463264.8,19,3.962272,210349833
