fon_kodu,durum,rapor_donemi,yayin_tarihi,kap_bildirim_no,rapor_net_varlik_tl,tutulan_fon_kodu,oran
AC8,muaf,34. Hafta,03.09.2026,1658561,,,
AP5,rapor,36. Hafta,16.09.2026,1664237,881038.37,PSE,0.003053
BAC,rapor_yok,,,,,,
BBO,muaf,34. Hafta,04.09.2026,1659122,,,
BDO,muaf,34. Hafta,04.09.2026,1659125,,,
BP5,muaf,34. Hafta,04.09.2026,1659114,,,
BSH,rapor,36. Hafta,16.09.2026,1664238,7628157.1,PSE,0.074315
BTJ,rapor,36. Hafta,16.09.2026,1664250,12532545.61,PSE,0.076511
CSH,muaf,34. Hafta,03.09.2026,1658557,,,
DFI,rapor,36. Hafta,16.09.2026,1664251,31981435370.21,ABG,0.318373
DFI,rapor,36. Hafta,16.09.2026,1664251,31981435370.21,BAC,0.00379
DFI,rapor,36. Hafta,16.09.2026,1664251,31981435370.21,BTJ,9e-06
DFI,rapor,36. Hafta,16.09.2026,1664251,31981435370.21,GCD,0.00095
DFI,rapor,36. Hafta,16.09.2026,1664251,31981435370.21,KHD,0.0
DFI,rapor,36. Hafta,16.09.2026,1664251,31981435370.21,LAI,0.000267
DFI,rapor,36. Hafta,16.09.2026,1664251,31981435370.21,PSE,0.015763
DOH,rapor,35. Hafta,09.09.2026,1661174,22411383672.57,T3B,0.0901
DOH,rapor,35. Hafta,09.09.2026,1661174,22411383672.57,THF,0.0098
DOH,rapor,35. Hafta,09.09.2026,1661174,22411383672.57,TLY,0.0086
DUH,rapor,36. Hafta,16.09.2026,1664239,144269145.15,KSA,0.0271
FNT,rapor,36. Hafta,16.09.2026,1664240,414816524.94,KSA,0.0434
HDA,rapor,36. Hafta,16.09.2026,1664242,92588303.65,KSA,0.0975
HDH,rapor_yok,,,,,,
HDK,rapor,36. Hafta,16.09.2026,1664243,11947632.48,HKJ,0.0005
HEH,rapor,36. Hafta,16.09.2026,1664244,392925614.39,,0
HFI,rapor,36. Hafta,16.09.2026,1664245,62948966.11,,0
HIM,rapor,36. Hafta,16.09.2026,1664219,284084455.46,HKJ,0.013
HIM,rapor,36. Hafta,16.09.2026,1664219,284084455.46,KSA,0.086
HKM,rapor,36. Hafta,16.09.2026,1664221,44517164.68,HKJ,0.0029
HKM,rapor,36. Hafta,16.09.2026,1664221,44517164.68,HPZ,0.0239
HKP,rapor_yok,,,,,,
HLR,rapor_yok,,,,,,
HMK,rapor_yok,,,,,,
HPL,rapor_yok,,,,,,
HPZ,rapor_yok,,,,,,
HVA,rapor_yok,,,,,,
HVB,rapor_yok,,,,,,
HVC,rapor_yok,,,,,,
IHY,muaf,34. Hafta,04.09.2026,1659151,,,
KHA,rapor,8. Ay,03.09.2026,1658599,8171786509.41,AC4,0.0199
KHD,rapor_yok,,,,,,
KLH,rapor,36. Hafta,16.09.2026,1664217,106296521.36,,0
LAI,rapor_yok,,,,,,
LGO,rapor_yok,,,,,,
NFK,rapor_yok,,,,,,
PDH,muaf,34. Hafta,03.09.2026,1658582,,,
PGE,muaf,34. Hafta,03.09.2026,1658583,,,
PGH,muaf,7. Ay,05.08.2026,1643437,,,
PHY,muaf,34. Hafta,03.09.2026,1658581,,,
PKU,muaf,34. Hafta,03.09.2026,1658584,,,
PKZ,muaf,7. Ay,05.08.2026,1643433,,,
POI,muaf,34. Hafta,03.09.2026,1658571,,,
POU,muaf,34. Hafta,03.09.2026,1658573,,,
PSR,muaf,34. Hafta,03.09.2026,1658580,,,
SHI,muaf,34. Hafta,03.09.2026,1658568,,,
SNY,rapor,36. Hafta,16.09.2026,1664215,383696097.82,PSE,0.177199
T3B,muaf,35. Hafta,09.09.2026,1661175,,,
THF,rapor,8. Ay,02.09.2026,1657113,74819592001.69,,0
TLV,rapor,8. Ay,02.09.2026,1657115,4016304183.64,,0
TLY,rapor,35. Hafta,09.09.2026,1661170,247632508542.43,HMV,0.0506
TLY,rapor,35. Hafta,09.09.2026,1661170,247632508542.43,T3B,0.0001
UHS,rapor_yok,,,,,,
YLZ,muaf,34. Hafta,04.09.2026,1659149,,,
