# sira;fon_kodu;tur_idx;portfoy_buyuklugu_tl;yatirimci_sayisi;fiyat;tedavuldeki_pay
# tur_idx: 0=Serbest Şemsiye Fonu,1=Para Piyasası Şemsiye Fonu,2=Hisse Senedi Şemsiye Fonu,3=Borçlanma Araçları Şemsiye Fonu,4=Kıymetli Madenler Şemsiye Fonu,5=Değişken Şemsiye Fonu,6=Katılım Şemsiye Fonu,7=Fon Sepeti Şemsiye Fonu
# kaynak: tefas.gov.tr api/funds/fonGnlBlgSiraliGetir, tarih 2026-09-16, fonTipi=YAT
1;BHN;0;474095099.92;41;1.421212;333585058
2;BYZ;0;172077522.01;40;2.094882;82141874
3;CBD;0;586027587.88;17;0.051361;11409975961
4;CAH;0;14411214.29;184;1.196702;12042445
5;CHY;0;142970532.01;41;0.148515;962664615
6;AJ1;0;10267005.32;83;1.357884;7561033
7;PAB;1;211205201.61;729;1.450875;145570943
8;P1A;0;716886233.27;360;1.576107;454846048
9;SEH;0;104951051.69;45;1.501413;69901499
10;LGO;0;93873107.3;11;6.232307;15062336
11;BSH;0;7217043.62;127;0.979611;7367255
12;AP5;0;841947.08;17;0.806803;1043560
13;BAC;0;1000259640.07;12;1.170315;854692790
14;AP4;0;235555616.35;11;0.945178;249218342
15;ABG;0;17659972052.28;181;135.122433;130696078
16;LAI;0;173179364.65;12;1.156448;149751064
17;KHD;0;737874351.34;12;1.414434;521674512
18;BTJ;0;12563921.0;54;1.401715;8963249
19;KLH;0;96737211.04;1893;2.452931;39437399
20;PPT;1;2166623302.22;3983;3.378255;641343988
21;PSE;0;22835199008.35;5636;1.936053;11794717821
22;SNY;0;365479640.14;413;1.238828;295020554
23;DFI;0;31299597782.95;47521;6.548005;4780020388
24;GCD;0;833463264.8;19;3.962272;210349833
25;UHS;0;460949431.06;13;8.565933;53811937
26;BLA;0;3581016118.74;15;3.828743;935298004
27;BOS;0;54065160.12;687;1.210891;44649089
28;BBO;0;74374.01;8;0.0161;4619421
29;BP5;0;42416207.92;11;1.585375;26754688
30;BOH;0;179828928.1;11;0.71768;250569682
31;BI5;0;2458690.79;10;0.869186;2828728
32;BBN;0;1329643719.87;13;0.577965;2300561650
33;BDO;0;1473121695.08;11;2.289882;643317774
34;IHY;0;172773265.05;1;5.142224;33598940
35;BIK;0;2390697739.52;15;1.027726;2326201151
36;BMU;0;152540456.61;2308;2.446277;62356158
37;BPZ;1;1428227280.37;2496;1.642584;869500455
38;BSN;0;561180466.03;17;0.740631;757705438
39;BUC;0;1450420.51;23;0.831726;1743869
40;YLZ;0;3325241.6;10;6.641119;500705
41;HLR;0;2764637842.66;13;106.76799;25893883
42;HEH;0;376310764.28;1386;3.350047;112329996
43;HAT;0;2810841.04;78;1.876227;1498135
44;HKM;0;41865475.15;845;3.727769;11230704
45;HIM;0;283352434.92;204;4.063268;69735105
46;HPL;0;129585988.06;24;0.444069;291815213
47;HDH;0;12268938657.68;17;3317.42131;3698336
48;HBV;0;1060741191.55;17;18.431617;57550088
49;HDA;0;79008127.96;497;3.177623;24863905
50;HVA;0;64524506.87;16;111.312867;579668
51;HMK;0;68976172.35;39;277.413821;248640
52;HGH;0;1011411.96;19;1.766828;572445
53;HGJ;0;989611351.18;12;9.070936;109096943
54;HPI;0;137509778.18;14;3.995742;34414080
55;HFI;0;60016872.22;130;1.751374;34268457
56;HPP;1;0.0;0;0.0;0
57;HIN;0;0.0;0;0.0;0
58;HKP;0;142884579.97;66;5.736049;24909931
59;KSA;0;16444799323.2;4180;4.235966;3882184330
60;HPF;0;813573542.64;12;18.854928;43149120
61;HMV;0;15464729987.59;13;17.430262;887234531
62;FNT;0;318870200.67;1696;2.004464;159080038
63;NFK;0;1192021564.08;65;4.660216;255786761
64;HYV;1;6191421886.29;6363;6.49879;952703812
65;HPH;6;6021721509.95;9058;2.434937;2473050396
66;HKJ;0;11420806705.43;2210;1.447563;7889676412
67;HVB;0;1154831610.38;13;1.003217;1151128347
68;HVC;0;70316264.17;16;25.778308;2727730
69;DUH;0;133830518.15;446;1.044251;128159333
70;HDK;0;11977938.92;126;3.040744;3939148
71;HPZ;0;5141529.29;18;531.479149;9674
72;AP6;0;721349167.31;45;7.567257;95325048
73;PAO;0;4316852.72;217;1.090675;3957963
74;BST;0;36159899.09;541;10.424106;3468873
75;PHY;0;639570889.27;45;5.089799;125657393
76;BRT;0;10073125.51;315;0.805998;12497713
77;BHH;0;367908368.14;71;0.189887;1937513173
78;PBY;0;161013434.51;54;1.200224;134152805
79;BSE;0;227317820.81;65;0.324876;699706389
80;BDI;0;271188587.4;72;0.000251;1078899892195
81;AC7;0;3033937250.7;44;4.703049;645100136
82;PCH;0;946947255.47;56;4.279875;221255824
83;PDH;0;5679008506.28;78;20.241988;280555872
84;DHI;0;2107618683.55;46;0.398742;5285672299
85;DRH;0;381045370.11;70;1.387496;274628048
86;PGE;0;10672690552.28;45;26.428842;403827399
87;KHA;2;4057697812.55;31609;4.555175;890788494
88;AC8;0;2873820710.42;96;189.772344;15143517
89;IAU;0;16596778.5;200;2.703293;6139468
90;AC5;0;23394673.37;146;3.794818;6164900
91;KRH;0;2210676564.86;41;1.696443;1303124471
92;PKU;0;7984898436.66;45;14.632384;545700430
93;PMH;0;39884.23;43;0.003619;11021437
94;PMP;0;11836367.75;366;0.721151;16413171
95;MGE;0;251500154.53;67;0.35969;699213023
96;POF;0;2675995055.72;45;2.498031;1071241579
97;POS;0;67202327.71;332;1.111738;60447991
98;POB;0;4420323890.67;42;4.271052;1034949682
99;PO9;0;189287896.13;136;0.679355;278628980
100;PPO;0;134292883.34;44;2.194912;61183726
101;POI;0;252040973.95;42;0.055318;4556187573
102;PO8;0;2464209.69;46;2.772856;888690
103;OHI;0;1196539830.45;44;0.121481;9849630500
104;POU;0;9135412314.69;73;3.456046;2643312925
105;PO7;0;1556039441.61;43;1.028123;1513476425
106;AC4;1;2010540345.02;4214;4.116252;488439575
107;PST;0;34550864.15;48;0.008183;4222197261
108;PSR;0;1134886063.17;45;2.733734;415141394
109;SHI;0;772929578.55;46;0.186721;4139493592
110;CSH;0;3644151981.5;54;2.30304;1582322640
111;PYD;0;26424005.14;44;0.144766;182529203
112;PYI;0;795209815.28;44;3.110964;255615232
113;PYR;0;50615350.92;1040;1.145999;44166994
114;PHB;0;4544972896.88;15;0.863602;5262810617
115;PBH;0;2915014607.08;12;1.215453;2398294516
116;PDG;0;214861102.4;11;0.408624;525815645
117;PDC;0;233145617.26;15;0.214947;1084666311
118;PGH;0;2613381839.41;12;1.967429;1328323644
119;PHN;0;0.0;18;0.0;0
120;PKD;0;6073841.65;102;0.916235;6629133
121;PNU;1;6495458852.23;20397;1.283142;5062150367
122;PKZ;0;27807603557.62;16;6.530213;4258299901
123;PRY;1;18923300311.92;39320;3.288388;5754582499
124;PKM;6;350723015.76;411;1.098537;319263668
125;PCS;0;0.0;28;0.0;0
126;TLY;0;243624480154.28;102616;10308.967128;23632288
127;DOH;0;45268031818.0;41799;2.566793;17636024843
128;THF;2;142076701550.72;206326;2.923361;48600470181
129;TP2;1;224391916391.0;167000;2.243343;100025680519
130;TLV;6;4282993301.16;11866;1.403881;3050822817
131;T3B;0;20743855332.47;18;0.147534;140603934957
